papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
AALR3,15.5,-8.39,1.68,1.542,0.0,0.681,-11.79,36.07,-1.82,47.61,15.09,0.042800000000000005,-0.1752,0.022099999999999998,-0.2006,0.78,788545.0,1089040000.0,0.77,0.054900000000000004,Serv.Méd.Hospit. Análises e Diagnósticos,1833540000.0,ALLIAR ON NM,2024-08-21
ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,0.0,0.0,6235070000.0,0.0,0.135,Intermediários Financeiros,0,ABC Brasil ON N2,1899-12-30
ABCB4,23.49,6.16,0.92,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496,0.0,15914000.0,6235070000.0,0.0,0.135,Intermediários Financeiros,5746990000,ABC Brasil PN N2,2024-08-21
ABEV3,12.94,14.16,2.14,2.529,0.0564,1.422,55.14,11.8,-22.44,11.11,8.19,0.2143,0.18359999999999999,0.1582,0.15109999999999998,1.11,338514000.0,95262800000.0,0.04,0.11560000000000001,Bebidas,203904000000,AMBEV S/A ON,2024-08-21
ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,0.0278,-0.008199999999999999,2.09,0.0,292060000.0,1.31,0.1641,Construção Civil,515088000,ABYARA ON NM,2010-02-11
ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334,Siderurgia e Metalurgia,7080470000,ARCELORMITTAL INOX BRASIL ON,2008-04-18
ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334,Siderurgia e Metalurgia,7040330000,ARCELORMITTAL INOX BRASIL PN,2008-04-24
ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,5.2170000000000005,0.3147,0.0,2064.0,-19776000.0,0.0,0.43479999999999996,,25440500,ADVANCED-DH ON,2020-12-28
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209,Diversos,2720770000,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,2010-12-03
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209,Diversos,8020250000,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA ON NM,2014-07-03
